date,crop_type,region,demand_tons
2025-01-01,tomato,Bangalore,19.5
2025-01-02,tomato,Bangalore,17.6
2025-01-03,tomato,Bangalore,19.9
2025-01-04,tomato,Bangalore,22.6
2025-01-05,tomato,Bangalore,17.3
2025-01-06,tomato,Bangalore,17.3
2025-01-07,tomato,Bangalore,22.7
2025-01-08,tomato,Bangalore,20.3
2025-01-09,tomato,Bangalore,16.6
2025-01-10,tomato,Bangalore,19.6
2025-01-11,tomato,Bangalore,16.6
2025-01-12,tomato,Bangalore,16.6
2025-01-13,tomato,Bangalore,18.7
2025-01-14,tomato,Bangalore,12.3
2025-01-15,tomato,Bangalore,12.8
2025-01-16,tomato,Bangalore,16.3
2025-01-17,tomato,Bangalore,15.0
2025-01-18,tomato,Bangalore,18.9
2025-01-19,tomato,Bangalore,15.3
2025-01-20,tomato,Bangalore,13.8
2025-01-21,tomato,Bangalore,22.4
2025-01-22,tomato,Bangalore,17.3
2025-01-23,tomato,Bangalore,18.2
2025-01-24,tomato,Bangalore,13.7
2025-01-25,tomato,Bangalore,16.4
2025-01-26,tomato,Bangalore,18.3
2025-01-27,tomato,Bangalore,14.5
2025-01-28,tomato,Bangalore,19.1
2025-01-29,tomato,Bangalore,16.2
2025-01-30,tomato,Bangalore,17.1
2025-01-31,tomato,Bangalore,16.2
2025-02-01,tomato,Bangalore,23.6
2025-02-02,tomato,Bangalore,18.0
2025-02-03,tomato,Bangalore,14.8
2025-02-04,tomato,Bangalore,20.5
2025-02-05,tomato,Bangalore,14.3
2025-02-06,tomato,Bangalore,18.6
2025-02-07,tomato,Bangalore,12.1
2025-02-08,tomato,Bangalore,14.0
2025-02-09,tomato,Bangalore,18.6
2025-02-10,tomato,Bangalore,20.2
2025-02-11,tomato,Bangalore,18.5
2025-02-12,tomato,Bangalore,17.7
2025-02-13,tomato,Bangalore,17.1
2025-02-14,tomato,Bangalore,13.6
2025-02-15,tomato,Bangalore,15.8
2025-02-16,tomato,Bangalore,16.6
2025-02-17,tomato,Bangalore,21.2
2025-02-18,tomato,Bangalore,19.0
2025-02-19,tomato,Bangalore,12.7
2025-02-20,tomato,Bangalore,19.0
2025-02-21,tomato,Bangalore,16.8
2025-02-22,tomato,Bangalore,16.0
2025-02-23,tomato,Bangalore,19.8
2025-02-24,tomato,Bangalore,21.1
2025-02-25,tomato,Bangalore,20.8
2025-02-26,tomato,Bangalore,15.5
2025-02-27,tomato,Bangalore,17.1
2025-02-28,tomato,Bangalore,19.0
2025-03-01,tomato,Bangalore,20.9
2025-03-02,tomato,Bangalore,16.6
2025-03-03,tomato,Bangalore,17.4
2025-03-04,tomato,Bangalore,14.7
2025-03-05,tomato,Bangalore,14.4
2025-03-06,tomato,Bangalore,20.4
2025-03-07,tomato,Bangalore,22.1
2025-03-08,tomato,Bangalore,17.8
2025-03-09,tomato,Bangalore,21.0
2025-03-10,tomato,Bangalore,19.1
2025-03-11,tomato,Bangalore,16.1
2025-03-12,tomato,Bangalore,19.1
2025-03-13,tomato,Bangalore,22.6
2025-03-14,tomato,Bangalore,17.9
2025-03-15,tomato,Bangalore,22.7
2025-03-16,tomato,Bangalore,10.1
2025-03-17,tomato,Bangalore,20.5
2025-03-18,tomato,Bangalore,18.3
2025-03-19,tomato,Bangalore,17.1
2025-03-20,tomato,Bangalore,18.3
2025-03-21,tomato,Bangalore,12.0
2025-03-22,tomato,Bangalore,17.3
2025-03-23,tomato,Bangalore,19.1
2025-03-24,tomato,Bangalore,22.4
2025-03-25,tomato,Bangalore,16.4
2025-03-26,tomato,Bangalore,15.6
2025-03-27,tomato,Bangalore,16.5
2025-03-28,tomato,Bangalore,20.7
2025-03-29,tomato,Bangalore,19.0
2025-03-30,tomato,Bangalore,16.4
2025-03-31,tomato,Bangalore,19.5
2025-04-01,tomato,Bangalore,18.3
2025-04-02,tomato,Bangalore,20.9
2025-04-03,tomato,Bangalore,15.9
2025-04-04,tomato,Bangalore,17.0
