crop_type,region,demand_tons,supply_tons,avg_quality_score,avg_batch_age_days,market_price_per_kg
wheat,Bangalore,15.5,37.3,0.84,4.1,16.21
tomato,Hyderabad,10.6,43.9,0.93,2.5,5.0
tomato,Bangalore,19.1,28.4,0.77,3.0,10.61
wheat,Chennai,12.7,31.6,0.75,7.9,14.36
tomato,Hyderabad,35.8,33.8,0.78,1.1,17.79
onion,Bangalore,10.5,18.1,0.7,5.8,15.8
tomato,Hyderabad,15.2,23.7,0.67,6.3,6.91
onion,Bangalore,39.1,37.1,0.98,7.3,17.12
onion,Hyderabad,37.7,13.1,0.68,1.3,25.57
onion,Hyderabad,34.9,22.5,0.71,4.8,18.18
tomato,Bangalore,34.1,12.6,0.99,6.4,21.65
wheat,Hyderabad,33.1,12.6,0.74,1.8,32.15
wheat,Bangalore,28.7,21.6,0.63,3.2,26.91
onion,Hyderabad,26.8,23.4,0.99,6.9,16.81
tomato,Chennai,17.1,19.0,0.62,6.0,11.25
wheat,Hyderabad,36.9,26.6,0.83,5.9,22.6
tomato,Hyderabad,28.1,28.9,0.68,7.6,14.22
onion,Chennai,34.2,32.2,0.95,6.6,19.86
onion,Chennai,26.2,38.3,0.96,3.2,16.23
onion,Bangalore,34.5,40.1,0.6,4.6,14.75
tomato,Chennai,16.7,14.2,0.74,7.6,12.7
tomato,Bangalore,11.9,18.9,0.7,5.9,6.57
wheat,Bangalore,14.4,44.9,0.71,7.8,9.14
tomato,Bangalore,17.2,15.1,0.8,7.9,12.12
wheat,Hyderabad,32.8,18.3,0.89,3.6,30.86
wheat,Hyderabad,12.7,39.2,0.73,2.3,18.55
tomato,Hyderabad,27.7,33.7,0.61,4.6,12.67
tomato,Bangalore,21.9,28.1,0.94,5.7,9.92
tomato,Bangalore,16.3,29.0,0.88,2.6,9.17
tomato,Chennai,36.9,41.5,0.85,3.4,14.48
wheat,Hyderabad,31.8,41.4,0.95,6.5,17.52
onion,Chennai,10.3,13.6,0.87,1.0,21.05
onion,Chennai,24.6,25.7,1.0,2.2,21.05
wheat,Hyderabad,29.7,29.9,0.64,3.6,21.35
wheat,Chennai,17.3,44.1,0.76,7.2,14.35
onion,Bangalore,27.3,27.2,0.68,6.1,17.52
wheat,Hyderabad,33.1,11.5,1.0,4.3,31.43
tomato,Bangalore,37.8,25.0,0.99,7.7,16.08
tomato,Hyderabad,19.2,16.7,0.71,4.4,11.99
onion,Chennai,37.9,12.5,0.68,5.7,21.13
wheat,Chennai,17.6,20.3,0.73,6.9,20.05
wheat,Bangalore,18.9,24.7,0.7,5.3,17.99
onion,Hyderabad,25.0,37.9,0.86,5.9,14.23
wheat,Hyderabad,21.3,13.3,0.83,1.3,27.93
tomato,Chennai,26.3,20.0,0.84,1.2,17.34
tomato,Bangalore,18.1,43.8,0.78,6.9,5.0
onion,Hyderabad,31.0,14.8,0.65,7.8,17.12
onion,Hyderabad,17.5,16.5,0.63,4.0,14.14
tomato,Bangalore,15.2,15.5,0.7,4.8,15.33
tomato,Bangalore,38.6,35.8,0.82,5.3,17.28
wheat,Hyderabad,17.4,22.5,0.9,1.1,23.76
onion,Chennai,24.7,26.6,0.67,4.0,21.18
wheat,Chennai,28.5,32.2,0.62,3.6,21.0
tomato,Bangalore,30.5,31.6,0.98,7.6,17.36
wheat,Chennai,27.2,14.5,0.92,6.7,27.44
onion,Hyderabad,15.9,12.4,0.64,1.1,22.07
wheat,Chennai,30.5,12.5,0.73,6.9,24.19
tomato,Chennai,28.9,40.7,0.89,6.6,9.0
tomato,Chennai,22.7,29.9,0.83,6.1,10.39
wheat,Chennai,26.9,18.4,0.87,6.2,22.94
wheat,Bangalore,21.3,28.7,0.8,3.7,19.62
tomato,Bangalore,35.4,22.4,0.98,5.7,17.81
wheat,Chennai,29.0,25.7,0.72,3.3,26.16
wheat,Bangalore,13.4,42.6,0.99,8.0,13.59
onion,Bangalore,32.1,29.1,0.88,7.8,18.95
tomato,Bangalore,35.2,24.9,0.69,3.8,18.38
wheat,Chennai,14.4,28.0,0.69,5.1,17.81
tomato,Chennai,31.2,26.9,0.75,5.9,13.9
onion,Chennai,19.9,25.2,0.7,3.8,19.93
tomato,Hyderabad,29.5,36.1,0.83,7.7,10.96
wheat,Bangalore,12.5,28.5,0.77,6.6,15.84
