crop_type,harvest_age_days,avg_temperature,avg_humidity,cold_chain,transport_time_hours,storage_days,handling_type,historical_spoilage_rate,spoilage
wheat,4,15.69445908916468,31.48589265456907,0,32.19852442600541,3.227992445164899,automated,0.06891117016433741,1
tomato,8,27.465496902777694,44.92914162119591,1,24.021918845695957,2.1781687534000507,manual,0.16570766429970196,0
wheat,7,16.133217218486404,54.47337651043681,1,25.319330311209267,3.432506246156312,automated,0.29731405965376473,0
wheat,5,25.591127886834528,46.77817910959237,1,21.32073163089794,5.409209011824885,manual,0.24240003782368308,0
tomato,7,12.22126653737044,38.18221964805395,0,47.60987466787244,1.1786970881213814,semi,0.29051884450930576,1
tomato,3,28.164480076432138,73.68073546777184,1,44.59538339449498,5.37247083456515,semi,0.24490858903336976,1
wheat,2,25.503698173844747,78.78885931007909,1,15.463036900125434,5.246127515537058,semi,0.26872049186053604,0
onion,6,32.2048410628439,45.44873856862349,0,6.244914464033358,3.7754374338861583,semi,0.22663240807579776,0
wheat,2,28.92101413476355,76.4651696763782,1,40.468942029814336,6.060896021247072,manual,0.24012550110430997,1
wheat,3,26.4881880559227,53.133213864078826,0,47.86700181700905,0.9250036471890238,semi,0.18079450245987516,1
wheat,6,30.693365477443635,60.40114745124016,1,14.75261801986334,4.168353046659711,manual,0.2810594252035332,0
wheat,5,14.318257407166925,81.36006449358916,1,17.815891514563013,3.1454013675127515,automated,0.25625972765584043,0
tomato,8,27.860789837758123,74.99722090814447,1,45.25675952980454,2.9560447898508215,automated,0.26097124141640804,1
wheat,9,15.16331808468333,78.30701107897066,1,34.42308734614522,1.767927498886678,automated,0.21825227524076307,1
onion,3,37.765666235556424,38.21070999518141,1,14.895001593642899,2.6059575976693563,semi,0.12614498677181224,0
tomato,3,12.050023145368126,34.183165550023766,1,28.30918509034401,0.7570552921656603,semi,0.058907448847534835,0
onion,3,22.911242490723797,83.60428374527922,0,45.37879023012004,1.7611927883537764,semi,0.2839137823523861,1
onion,6,30.873924329663346,53.27005617426566,0,39.15521602645159,1.903755754446578,automated,0.19653008720137422,1
onion,1,23.74066635004776,47.27278068418085,1,35.86613754524701,5.044675072220976,automated,0.12453574278703507,0
onion,7,12.762857596987072,73.48177525570947,1,35.63882665117005,0.3398529904620421,automated,0.08728377696188445,0
tomato,1,26.601370483801222,80.1849357947914,1,9.366955241736706,4.558346157056025,automated,0.25738079137518866,0
tomato,5,29.248957264820636,81.74937731389805,0,39.76001824371301,1.549869368552329,manual,0.2591300486118947,1
onion,8,31.11376932971523,48.959828467513645,0,13.977575724842533,0.5730305414140575,manual,0.2536269920326329,0
onion,4,21.19779443388277,81.13274347210044,0,44.727232921371886,2.105643127598039,semi,0.21127067299169655,1
tomato,5,26.909799130862865,32.456036662460725,1,18.1380795776478,1.5713100860002194,semi,0.14150384689796897,0
tomato,4,23.52059424816739,32.97968948758313,1,41.31003866098605,3.86422663087895,automated,0.12601757119506424,1
tomato,4,30.161681162567604,67.41115171044927,0,13.512974242336668,2.5016348241357367,manual,0.05213869252954255,0
wheat,8,27.506709019744555,33.78638214693277,0,25.182766019365303,6.761956196858283,manual,0.25840188967206007,1
wheat,2,25.772686586774046,49.47655011060969,1,6.023608887985846,6.744847195735955,semi,0.07185817437341062,0
wheat,1,17.485731005147457,70.36535917481544,0,32.02558844082018,3.1060068838416766,manual,0.2076887495101919,1
onion,3,10.060555532447017,50.23601376325358,1,40.2957259328414,5.565612224621817,semi,0.1760187367100221,1
wheat,9,15.222450259342878,40.775986886405754,0,34.76702222121356,0.09287978602612523,automated,0.1816723397315878,1
onion,4,13.51198124272506,46.8810373112305,1,25.593150108116895,3.8346810930736184,automated,0.2816782113269433,0
onion,5,23.472542350328403,57.45451993502591,1,3.120446294268596,5.203094206148854,semi,0.05790375281781053,0
wheat,2,28.36774452285534,58.52315132132894,1,44.87172733703034,1.5186025778513512,automated,0.24334805615719307,1
onion,4,16.392550260544247,76.98001388083212,0,34.15800878319583,0.42820228616160627,automated,0.06301309959182678,0
wheat,2,38.171712879015615,75.00919376589076,0,36.05561920317065,1.0914325513451912,manual,0.0595384014838443,0
wheat,2,10.200463876716633,57.409068273368106,1,38.349987049007936,3.0929366102169995,manual,0.15745442453534547,0
tomato,4,33.169030454960286,80.74004094592628,1,36.1439410185977,3.5445999452938337,manual,0.06576879358574168,0
wheat,6,28.756143085913266,36.85422831548375,0,21.732459712621683,2.666195854761379,manual,0.24728598782322803,1
tomato,7,21.206644031430457,45.32120101373409,0,35.480225976533504,3.07981636929666,manual,0.18239077341208432,1
wheat,3,11.514668332372239,79.6785878101351,1,30.37625902708546,3.291644717264969,semi,0.05725969566494361,0
wheat,3,28.82459715352838,52.67964231756919,1,41.13876768243296,5.386056631207674,semi,0.06012517162047988,0
tomato,6,21.56840538596944,88.87089352763053,0,38.71561132085641,0.7366932865435667,manual,0.20316713243486983,1
tomato,3,38.08801418239658,57.97519689167012,0,2.9445959759612146,5.382653270115772,automated,0.25152795441460124,0
wheat,2,26.259702246692978,77.51613737782584,1,18.807693245632446,4.820391116064987,automated,0.15944988281869338,0
onion,8,38.189545338805246,54.13842248294232,1,2.631659152643045,5.191625666334226,semi,0.18864516788390612,0
tomato,5,16.61451080419912,55.49721114374582,1,5.797521464006602,5.14127870112726,semi,0.24995736351247538,0
onion,1,31.7717773109231,52.972988837051005,1,29.266303934169734,3.2941427106124856,semi,0.20262654351045478,0
onion,3,28.51747062546177,73.14453723064871,0,42.06962559462591,1.4798012919263002,automated,0.10619005941470487,0
onion,8,32.182246894939354,62.85107304359967,0,6.63176365933556,3.756402330112628,semi,0.20326300646736967,0
tomato,4,16.440035919176104,86.62668668210215,0,22.20119651094108,6.705874375263697,automated,0.2070698647663034,1
onion,7,29.94983548713321,45.05341899204629,1,43.81130852590285,4.119679769753546,semi,0.23352674522028166,0
